brand,name,price,rating,ingredients
Elizabeth Arden,Eight Hour Cream Skin Protectant,Online Only,4.1,"Active: Petrolatum 56.8%. Other: Lanolin, Mineral Oil, Fragrance, Salicylic Acid, Propylparaben, Castor Oil, Corn Oil, Tocopherol, BHT, Iron Oxides."
Murad,City Skin Overnight Detox Moisturizer,"Price
$74.00",4.7,"Water (Aqua), Glycerin, Shea Butter Ethyl Esters, Dicaprylyl Carbonate, Isodecyl Neopentanoate, Jojoba Esters, Glyceryl Stearate Citrate, Synthetic Beeswax, Dimethicone, Hydrogenated Palm Kernel Glycerides, Ectoin, Marrubium Vulgare Extract, Allantoin, Zingiber Officinale (Ginger) Root Extract, Brassica Campestris (Rapeseed) Sterols, Hydrolyzed Jojoba Esters, Tetrahexyldecyl Ascorbate, Hordeum Vulgare (Barley) Extract, Cucumis Sativus (Cucumber) Fruit Extract, Helianthus Annuus (Sunflower) Seed Extract, Urea, Yeast Amino Acids, Trehalose, Inositol, Taurine, Betaine, Bisabolol, Hydroxyphenyl Propamidobenzoic Acid, Hydrogenated Palm Glycerides, Xanthan Gum, Propylene Glycol Dicaprate, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Hexyldecanol, Pentylene Glycol, 4-t-Butylcyclohexanol, Cetylhydroxyproline Palmitamide, Stearic Acid, Disodium Carboxyethyl Siliconate, Aminomethyl Propanol, Disodium EDTA, Ethylhexylglycerin, Phenoxyethanol, Fragrance (Parfum), Limonene*, Linalool*, Benzyl Salicylate*, Titanium Dioxide (CI 77891)."
Kopari Beauty,Coconut Water Moisture Face Cream,"Price
$25.00",4.7,"Water/Aqua/EAU, Caprylic/Capric Triglyceride, Propanediol, Aloe Barbadensis (Aloe Vera) Leaf Juice*, Glycerin, Cocos Nucifera (Coconut) Water*, Cetearyl Alcohol, Cetearyl Glucoside, Hexanoyl Dipeptide-3 Norleucine Acetate, Sodium Hyaluronate, Squalane, Rose Extract, Camellia Oleifera Seed Oil, Camellia Sinensis Leaf Extract*, Lavender Angustifolia (Lavender) Flower/Leaf Stem Extract, Cymbopogon Martini (Palmarosa) Extract, Butyrospermum Parkii (Shea Butter), Vitis Vinifera (Grape) Seed Oil, Bisabolol, Vanilla Plantifolia Fruit Extract, Tocopheryl Acetate, Hydroxyethylcellulose, Chlorphenesin, Hydroxyethyl Acrylate/Sodium Acryloyldimethyltaurate Copolymer, Lecithin, Polysorbate 60, Phenoxyethanol. *Organic"
Philosophy,Clear Days Ahead Oil-Free Salicylic Acid Acne Treatment & Moisturizer,Only at Ulta Beauty,4.4,"Active: Salicylic Acid (1.0%). Inactive: Water, Dimethicone, Polysilicone-11, Butylene Glycol, Acacia Decurrens/Jojoba/Sunflower Seed Wax/Polyglyceryl-3 Esters, Caprylic/Capric Triglyceride, Sodium Acrylates Copolymer, Squalane, Lecithin, Oligopeptide-10, Tocopheryl Acetate, Trimethylpentanediol/Adipic Acid Copolymer, Octyldodecyl Neopentanoate, Ceteareth-20, Cetearyl Alcohol, Polysorbate 60, PPG-12/Smdi Copolymer, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Ethoxydiglycol, Sodium Hydroxide, Disodium Edta, O-Cymen-5-Ol."
Aveeno,Positively Radiant Daily Moisturizer SPF 30,"Sale Price
$15.99
Original Price
$19.99",4.4,"Active: Avobenzone (3%), Homosalate (12%), Octisalate (5%), Octocrylene (1.7%), Oxybenzone (3%). Inactive: Water, C12-15 Alkyl Benzoate, Glycine Soja (soybean) Seed Extract, Dimethicone, Cetearyl Alcohol, Diethylhexyl 2,6-naphthalate, Glycerin, Ethylene/acrylic Acid Copolymer, Phenoxyethanol, Phenyl Trimethicone, Silica, Panthenol, Arachidyl Alcohol, Cetearyl Glucoside, Methylparaben, Aluminum Starch Octenylsuccinate, Steareth-2, Fragrance, Polyacrylate-13, Behenyl Alcohol, Steareth-21, Polymethyl Methacrylate, Disodium EDTA, Arachidyl Glucoside, Polyisobutene, Pentaerythrityl Tetra-di-t-butyl Hydroxyhydrocinnamate, Ethylparaben, Propylparaben, Benzalkonium Chloride, Boron Nitride, Polysorbate 20, Titanium Dioxide, Mica."
PÜR,Get A Lift Firming Facial Cream,"Price
$39.00",4.4,"Aqua, Cyclopentasiloxane, Glycerin, Butylene Glycol, Cetyl Ethylhexanoate, Dimethicone, Caprylyl Methicone, PEG-10 Dimethicone, Stearyl Dimethicone, Dipropylene Glycol, Medicago Sativa (Alfalfa) Extract, Hydrolyzed Wheat Protein, Hydrolyzed Manihot Esculenta Tuber Extract, Citrus Aurantium Amara (Bitter Orange) Peel Oil, Lavandula Angustifolia (Lavender) Oil, Disteardimonium Hectorite, Polymethyl Methacrylate, Cetyl PEG/PPG-10/1 Dimethicone, Magnesium Sulfate, Sclerotium Gum, Bis Vinyl Dimethicone/Dimethicone Copolymer, Citric Acid, Titanium Dioxide (CI 77891), Tin Oxide, Sodium Citrate, Synthetic Fluorphlogopite, Phenoxyethanol, Caprylyl Glycol, Disodium EDTA."
Grown Alchemist,Hydra-Repair Day Cream,"Price
$49.00",4.9,"Aloe Barbadensis (Aloe Vera) Leaf Extract, Aqua (Purified Water), Prunus Amygdalus (Sweet Almond) Dulcis Oil, Cetearyl Olivate (and) Sorbitan Olivate (Plant), Cetyl Alcohol (Plant), Glycerin (Plant), Rosa Canina (Rosehip) Fruit Oil, Dimethicone (Mineral), Benzyl Alcohol (Organic Listed), Xanthan Gum (Polysaccharide), Lactic Acid (Plant), Tocopherol (Plant), Pelargonium Graveolens (Geranium) Oil, Citrus Sinensis (Sweet Orange) Peel Oil Expressed, Citrus Nobilis (Mandarin) Peel Oil, Sucrose (Plant), Daucus Carota (Carrot) Sativa Root Extract, Camellia Oleifera (Camellia) Seed Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Salix Alba (White Willow) Bark Extract, Hydrolyzed Wheat Protein (Plant), Chamomilla Recutita (Chamomile) Flower Oil, Sodium Dehydroacetate (Organic Listed), Linalool (Plant), Limonene (Plant), Citral (Plant), Geraniol (Plant), Citronellol (Plant)."
Origins,A Perfect World SPF 40 Age-Defense Oil Free Moisturizer with White Tea,"Price
$47.00",4.2,"Active: Avobenzone 3.0%, Homosalate 8.0%, Octinoxate 7.5%, Octisalate 4.5%, Octocrylene 5.0%.
Inactive: Water\Aqua\Eau, Butylene Glycol, Glycerin, Ammonium Acryloyldimethyltaurate/Vp Copolymer, Polyethylene, Citrus Aurantium Bergamia (Bergamot) Fruit Oil*, Citrus Limon (Lemon) Peel Oil*, Citrus Aurantium Dulcis (Orange) Oil*, Cinnamomum Camphora (Camphor) Bark Oil*, Mentha Viridis (Spearmint) Leaf Oil*, Magnolia Acuminata Flower Extract, Iris Pallida Root Extract, Rosa Damascena Extract, Citral, Linalool, Limonene, Cetyl Alcohol, Glyceryl Stearate, Peg-100 Stearate, Peg-6, Vaccinium Angustifolium (Blueberry) Fruit Extract, Vaccinium Macrocarpon (Cranberry) Fruit Extract, Solanum Tuberosum (Potato) Pulp Extract, Lycium Chinense (Wolfberry) Fruit Extract, Eriobotrya Japonica (Loquat) Leaf Extract, Passiflora Incarnata Flower Extract, Leontopodium Alpinum Extract, Betula Alba (Birch) Bark Extract, Camellia Sinensis (White Tea) Leaf Extract, Boswellia Serrata Extract, Sigesbeckia Orientalis (St. Paul's Wort) Extract, Thermus Thermophillus Ferment, Hordeum Vulgare (Barley) Extract\Extrait D'orge, Triticum Vulgare (Wheat) Germ Extract, Saccharomyces Lysate Extract, Lythrum Salicaria Extract, Yeast Extract\Faex\Extrait De Levure, Algae Extract, Oryzanol, Squalane, Ethylhexylglycerin, Trehalose, Steareth-21, Ergothioneine, Sodium Hyaluronate, Vp/Eicosene Copolymer, Nylon-12, Caprylyl Glycol, Sodium Pca, Sodium Dehydroacetate, Tocopheryl Acetate, Urea, Ascorbyl Tocopheryl Maleate, Citric Acid, Polyquaternium-51, Hexylene Glycol, Lecithin, Sodium Phytate, Bht, Mica, Phenoxyethanol.

*Essential oil

Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients."
RoC,Multi Correxion 5 in 1 Daily Moisturizer SPF 30,"Sale Price
$19.59
Original Price
$27.99",4.1,"Avobenzone 2.0%, Homosalate 4.0%, Octisalate 4.0%, Octocrylene 2.0% . Water/Aqua/Eau, Propylene Glycol, Glycerin, Isononyl Isononanoate,Dimethicone, Steareth-2, Ascorbyl Glucoside, Ethylhexyl Palmitate, Styrene/Acrylates Copolymer, Butyrospermum Parkii (Shea) Butter, Methyl Methacrylate Crosspolymer, Behenyl Alcohol, Hexylresorcinol, Steareth-21, Fragrance/Parfum, Dimethicone Crosspolymer, Phenoxyethanol, Ammonium Acryloyldimethyltaurate/VP Copolymer, Caprylyl Glycol, Sclerotium Gum, Mica, Sodium Hydroxide, Titanium Dioxide, Methylparaben, PEG-8 Laurate, Disodium EDTA, Ethylparaben, Propylparaben, Acrylates Copolymer, Sodium Dodecylbenzenesulfonate, Linseed Acid."
COSRX,Oil Free Moisturizing Lotion,"Price
$25.00",4.2,"Betula Platyphylla Japonica Juice, Butylene Glycol, Glycerin, Dimethicone, Betaine, Cetearyl Alcohol,1,2-Hexanediol, Cetearyl Olivate, Sorbitan Olivate, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Sodium Lactate, Ethylhexylglycerin, Sodium Hyaluronate, Allantoin, Panthenol, Xanthan Gum, Ethyl Hexanediol, Citrus Medica Limonum (Lemon) Peel Oil, Melaleuca Alternifolia (Tea Tree) Leaf Oil."
